Recipient,Delivery year,Armament category,Total TIV
Colombia,2009,Sensors,6.0
Colombia,2010,Aircraft,45.26
Colombia,2010,Armoured vehicles,15.6
Colombia,2010,Engines,1.0
Colombia,2011,Aircraft,80.33
Colombia,2012,Aircraft,77.22
Colombia,2013,Aircraft,96.93
Colombia,2013,Armoured vehicles,0.8
Colombia,2013,Missiles,1.6
Colombia,2013,Sensors,5.0
Colombia,2014,Aircraft,14.0
Colombia,2014,Armoured vehicles,10.4
Colombia,2014,Other,0.6
Colombia,2014,Sensors,7.5
Colombia,2015,Aircraft,3.1
Colombia,2015,Missiles,5.8
Colombia,2015,Sensors,46.5
Colombia,2016,Aircraft,11.5
Colombia,2016,Armoured vehicles,0.8
Colombia,2017,Aircraft,30.1
Colombia,2018,Aircraft,3.1
Colombia,2019,Aircraft,21.85
Colombia,2020,Aircraft,17.4
Colombia,2021,Aircraft,39.849999999999994
Colombia,2021,Armoured vehicles,3.2
Colombia,2022,Aircraft,35.8
Colombia,2022,Armoured vehicles,10.56
Colombia,2022,Sensors,2.5
Colombia,2023,Aircraft,2.0
Colombia,2023,Armoured vehicles,0.52
